MSN,YYYYMM,Value,Column_Order,Description,Unit
GERCBUS,198007,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198008,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198009,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198010,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198011,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198012,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198013,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198101,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198102,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198103,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198104,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198105,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198106,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198107,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198108,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198109,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198110,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198111,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198112,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198113,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198201,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198202,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198203,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198204,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198205,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198206,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198207,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198208,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198209,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198210,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198211,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198212,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198213,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198301,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198302,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198303,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198304,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198305,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198306,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198307,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198308,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198309,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198310,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198311,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198312,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198313,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198401,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198402,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
